personId,firstName,lastName,height,bodyWeight,draftYear
1477,Bruce,Bowen,79.0,200.0,-1.0
1478,Stevin,Smith,74.0,208.0,-1.0
1503,Tracy,McGrady,80.0,1503.0,1997.0
1510,Brevin,Knight,70.0,1510.0,1997.0
1525,Charles,O'Bannon,77.0,1525.0,1997.0
1527,Marko,Milic,78.0,1527.0,1997.0
1528,Bubba,Wells,77.0,1528.0,1997.0
1532,Jerald,Honeycutt,81.0,1532.0,1997.0
1540,Eric,Washington,76.0,1540.0,1997.0
1544,Chris,Crawford,81.0,1544.0,1997.0
1559,Adrian,Griffin,77.0,230.0,-1.0
1562,Gerard,King,,,-1.0
1563,Kevin,Ollie,74.0,195.0,-1.0
1564,Etdrick,Bohannon,,,-1.0
1565,Michael,Stewart,82.0,230.0,-1.0
1569,Keith,Closs,87.0,212.0,-1.0
1572,Nate,Huffman,85.0,245.0,-1.0
1575,Derek,Grimm,81.0,230.0,-1.0
1576,Travis,Williams,78.0,215.0,-1.0
1577,Darnell,Mee,77.0,1577.0,1993.0
1578,Shea,Seals,77.0,210.0,-1.0
1585,Brandon,Williams,78.0,215.0,-1.0
1591,Alvin,Sims,76.0,235.0,-1.0
1594,Rick,Brunson,76.0,190.0,-1.0
1600,Kornel,David,81.0,230.0,-1.0
1601,Rusty,LaRue,75.0,1601.0,-22.0
1603,Walter,Bond,77.0,200.0,-1.0
1607,Troy,Hudson,73.0,178.0,-1.0
1609,Art,Long,81.0,1609.0,-22.0
1612,Chris,Garner,70.0,156.0,-1.0
1619,Kiwane,Garris,74.0,1619.0,-22.0
1622,Rodney,McCray,80.0,1622.0,1983.0
1628,Alan,Ogg,86.0,240.0,-1.0
1630,Mikki,Moore,84.0,225.0,-1.0
1666,Gerald,Madkins,76.0,200.0,-1.0
1677,Harold,Ellis,77.0,220.0,-1.0
1682,Reggie,Hanson,80.0,1682.0,-22.0
1683,Larry,Robinson,75.0,180.0,-1.0
1712,Antawn,Jamison,81.0,1712.0,1998.0
1713,Vince,Carter,78.0,1713.0,1998.0
1726,Mirsad,Turkcan,81.0,1726.0,1998.0
1730,Brian,Skinner,81.0,1730.0,1998.0
1735,Vladimir,Stepania,85.0,1735.0,1998.0
1737,Nazr,Mohammed,82.0,1737.0,1998.0
1742,Shammond,Williams,73.0,1742.0,1998.0
1744,Jerome,James,85.0,1744.0,1998.0
1757,Cory,Carr,76.0,1757.0,1998.0
1760,Derrick,Dial,76.0,1760.0,1998.0
1800,Damon,Jones,75.0,195.0,-1.0
1801,Jonathan,Kerner,83.0,245.0,-1.0
1802,Brad,Miller,84.0,261.0,-1.0
1806,James,Blackwell,72.0,190.0,-1.0
1820,Kelly,McCarty,79.0,200.0,-1.0
1823,Makhtar,N'diaye,80.0,1823.0,-22.0
1824,Peter,Aluma,82.0,260.0,-1.0
1829,Ike,Fontaine,,,-1.0
1831,Marlon,Garnett,74.0,186.0,-1.0
1838,Tyrone,Nesby,78.0,245.0,-1.0
1844,Fred,Vinson,76.0,190.0,-1.0
1845,Andrew,Gaze,,,-1.0
1848,Mike,Higgins,81.0,220.0,-1.0
1852,Jeff,Sheppard,75.0,190.0,-1.0
1853,Anthony,Carter,73.0,1853.0,-22.0
1858,Mark,Baker,73.0,175.0,-1.0
1863,Earl,Boykins,65.0,133.0,-1.0
1864,Steve,Goodrich,82.0,220.0,-1.0
1868,Trevor,Winter,84.0,275.0,-1.0
1869,Charles R.,Jones,75.0,180.0,-1.0
1871,Gerald,Brown,76.0,210.0,-1.0
1882,Elton,Brand,81.0,1882.0,1999.0
1888,Richard,Hamilton,79.0,1888.0,1999.0
1898,Cal,Bowdler,82.0,1898.0,1999.0
1907,Vonteego,Cummings,,1907.0,1999.0
1911,John,Celestand,75.0,1911.0,1999.0
1913,Michael,Ruffin,80.0,1913.0,1999.0
1922,Francisco,Elson,84.0,1922.0,1999.0
1934,Rodney,Buford,77.0,1934.0,1999.0
1937,Tim,Young,86.0,1937.0,1999.0
1942,Harold,Jamison,81.0,269.0,-1.0
1943,Wayne,Turner,74.0,190.0,-1.0
1944,Eddie,Robinson,81.0,1944.0,-22.0
1950,Andy,Panko,81.0,245.0,-1.0
1952,Raja,Bell,77.0,210.0,-1.0
1953,Lazaro,Borrell,80.0,220.0,-1.0
1954,Jason,Miskiri,74.0,185.0,-1.0
1956,Ira,Newble,79.0,220.0,-1.0
1960,Milt,Palacio,76.0,210.0,-1.0
1965,Rick,Hughes,81.0,235.0,-1.0
1967,Derek,Hood,80.0,222.0,-1.0
1975,Jamel,Thomas,78.0,219.0,-1.0
1983,Jermaine,Jackson,77.0,204.0,-1.0
1985,Zendon,Hamilton,83.0,1985.0,-22.0
2000,Dedric,Willoughby,75.0,180.0,-1.0
2036,Chris,Mihm,84.0,2036.0,2000.0
2042,Courtney,Alexander,77.0,2042.0,2000.0
2048,Jamaal,Magloire,83.0,2048.0,2000.0
2050,Morris,Peterson,79.0,2050.0,2000.0
2058,Mark,Madsen,81.0,2058.0,2000.0
2062,A.J.,Guyton,74.0,2062.0,2000.0
2066,Soumaila,Samake,82.0,2066.0,2000.0
2071,Olumide,Oyedeji,,2071.0,2000.0
2079,Kaniel,Dickens,80.0,2079.0,2000.0
2081,Ernest,Brown,84.0,2081.0,2000.0
2091,Daniel,Santiago,85.0,256.0,-1.0
2092,Ruben,Garces,,,-1.0
2098,Slava,Medvedenko,82.0,253.0,-1.0
2101,Paul,McPherson,76.0,210.0,-1.0
2106,Ruben,Wolkowyski,82.0,275.0,-1.0
2109,Eddie,Gill,72.0,190.0,-1.0
2121,Terrance,Roberson,,,-1.0
2123,Garth,Joseph,86.0,306.0,-1.0
2124,Malik,Allen,82.0,255.0,-1.0
2128,David,Vanterpool,77.0,200.0,-1.0
2130,Mike,Penberthy,75.0,180.0,-1.0
2137,Ime,Udoka,77.0,2137.0,-22.0
2143,Pepe,Sanchez,76.0,195.0,-1.0
2173,Sean,Colson,72.0,175.0,-1.0
2205,DeSagana,Diop,84.0,2205.0,2001.0
2208,Kedrick,Brown,79.0,2208.0,2001.0
2210,Richard,Jefferson,79.0,2210.0,2001.0
2229,Mike,James,74.0,188.0,-1.0
2230,Maurice,Evans,77.0,220.0,-1.0
2237,Ratko,Varda,85.0,265.0,-1.0
2238,Antonis,Fotsis,82.0,2238.0,2001.0
2239,Trenton,Hassell,77.0,2239.0,2001.0
2241,Omar,Cook,73.0,2241.0,2001.0
2245,Damone,Brown,80.0,2245.0,2001.0
2256,Ken,Johnson,82.0,2256.0,2001.0
2261,Kenny,Satterfield,74.0,2261.0,2001.0
2294,Charlie,Bell,75.0,2294.0,-22.0
2306,Carlos,Arroyo,74.0,200.0,-1.0
2321,Paul,Shirley,82.0,230.0,-1.0
2343,Joe,Crispin,72.0,185.0,-1.0
2347,Tang,Hamilton,80.0,205.0,-1.0
2351,Oscar,Torres,78.0,210.0,-1.0
2352,Dean,Oliver,71.0,175.0,-1.0
2357,Tierre,Brown,74.0,189.0,-1.0
2365,Chris,Andersen,82.0,245.0,-1.0
2366,Mike,Wilks,70.0,180.0,-1.0
2367,Geno,Carlisle,75.0,200.0,-1.0
2369,Norman,Richardson,77.0,2369.0,-22.0
2370,Mengke,Bateer,83.0,290.0,-1.0
2413,Juan,Dixon,75.0,2413.0,2002.0
2414,Curtis,Borchardt,84.0,2414.0,2002.0
2427,Roger,Mason Jr.,77.0,2427.0,2002.0
2434,Juan Carlos,Navarro,,2434.0,2002.0
2450,Randy,Holcomb,81.0,2450.0,2002.0
2452,J.R.,Bremer,74.0,185.0,-1.0
2453,Predrag,Savovic,78.0,2453.0,-22.0
2454,Junior,Harrington,76.0,190.0,-1.0
2456,Cezary,Trybanski,86.0,240.0,-1.0
2457,Jannero,Pargo,73.0,185.0,-1.0
2466,Maurice,Carter,77.0,210.0,-1.0
2469,Pat,Burke,83.0,250.0,-1.0
2470,Smush,Parker,76.0,190.0,-1.0
2471,Mike,Batiste,,2471.0,-22.0
2484,Devin,Brown,77.0,210.0,-1.0
2486,Maurice,Baker,74.0,200.0,-1.0
2492,Adam,Harrington,77.0,200.0,-1.0
2499,Richie,Frahm,77.0,2499.0,-22.0
2501,Reggie,Evans,80.0,245.0,-1.0
2541,Antoine,Rigaudeau,79.0,210.0,-1.0
2548,Dwyane,Wade,76.0,2548.0,2003.0
2562,Sasha,Pavlovic,79.0,2562.0,2003.0
2566,Travis,Outlaw,81.0,2566.0,2003.0
2567,Brian,Cook,81.0,2567.0,2003.0
2571,Leandro,Barbosa,75.0,2571.0,2003.0
2594,Kyle,Korver,79.0,2594.0,2003.0
2599,Brandon,Hunter,79.0,2599.0,2003.0
2604,Theron,Smith,80.0,225.0,-1.0
2605,Marquis,Daniels,78.0,2605.0,-22.0
2617,Udonis,Haslem,79.0,235.0,-1.0
2624,Quinton,Ross,78.0,2624.0,-22.0
