,precision,recall,f1-score,support
0,0.8823529411764706,0.7142857142857143,0.7894736842105263,63.0
1,0.9345454545454546,0.9771863117870723,0.9553903345724907,263.0
accuracy,0.9263803680981595,0.9263803680981595,0.9263803680981595,0.9263803680981595
macro avg,0.9084491978609626,0.8457360130363933,0.8724320093915086,326.0
weighted avg,0.9244591712870313,0.9263803680981595,0.9233266874166509,326.0
